"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","2067","Locked out user cannot log in","","Wed Apr 22 06:54:30 UTC 2026","passed","Wed Apr 22 06:54:32 UTC 2026","","Login functionality","Locked out user cannot log in",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2844","User can complete a full checkout and receive an order confirmation","","Wed Apr 22 06:53:50 UTC 2026","passed","Wed Apr 22 06:53:53 UTC 2026","","Checkout functionality","User can complete a full checkout and receive an order confirmation",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","2236","User can sort products by price low to high","","Wed Apr 22 06:54:12 UTC 2026","passed","Wed Apr 22 06:54:15 UTC 2026","","Inventory page functionality","User can sort products by price low to high",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","2311","User can sort products by name Z to A","","Wed Apr 22 06:54:10 UTC 2026","passed","Wed Apr 22 06:54:12 UTC 2026","","Inventory page functionality","User can sort products by name Z to A",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2546","Checkout form requires a last name","","Wed Apr 22 06:53:58 UTC 2026","passed","Wed Apr 22 06:54:01 UTC 2026","","Checkout functionality","Checkout form requires a last name",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2759","Checkout overview displays the correct order summary","","Wed Apr 22 06:53:53 UTC 2026","passed","Wed Apr 22 06:53:56 UTC 2026","","Checkout functionality","Checkout overview displays the correct order summary",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","3275","User can open and close the burger menu","","Wed Apr 22 06:54:53 UTC 2026","passed","Wed Apr 22 06:54:56 UTC 2026","","Header navigation functionality","User can open and close the burger menu",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","2276","Continue shopping returns the user to the inventory page","","Wed Apr 22 06:53:45 UTC 2026","passed","Wed Apr 22 06:53:48 UTC 2026","","Shopping cart functionality","Continue shopping returns the user to the inventory page",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","2368","Cart page is empty when no items have been added","","Wed Apr 22 06:53:40 UTC 2026","passed","Wed Apr 22 06:53:43 UTC 2026","","Shopping cart functionality","Cart page is empty when no items have been added",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","1949","Error message is displayed when both fields are empty","","Wed Apr 22 06:54:45 UTC 2026","passed","Wed Apr 22 06:54:47 UTC 2026","","Login functionality","Error message is displayed when both fields are empty",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2067","Application logo is displayed in the header on the inventory page","","Wed Apr 22 06:55:01 UTC 2026","passed","Wed Apr 22 06:55:03 UTC 2026","","Header navigation functionality","Application logo is displayed in the header on the inventory page",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2497","Checkout form requires a first name","","Wed Apr 22 06:53:56 UTC 2026","passed","Wed Apr 22 06:53:58 UTC 2026","","Checkout functionality","Checkout form requires a first name",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2728","User can log out via the burger menu","","Wed Apr 22 06:54:50 UTC 2026","passed","Wed Apr 22 06:54:53 UTC 2026","","Header navigation functionality","User can log out via the burger menu",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","2094","Inventory page displays all six products","","Wed Apr 22 06:54:06 UTC 2026","passed","Wed Apr 22 06:54:08 UTC 2026","","Inventory page functionality","Inventory page displays all six products",""
"  As a logged-in user
  I want to manage items in my shopping cart
  So that I can review my selection before placing an order","2409","User can remove an item from the cart page","","Wed Apr 22 06:53:43 UTC 2026","passed","Wed Apr 22 06:53:45 UTC 2026","","Shopping cart functionality","User can remove an item from the cart page",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","2232","User can sort products by price high to low","","Wed Apr 22 06:54:15 UTC 2026","passed","Wed Apr 22 06:54:17 UTC 2026","","Inventory page functionality","User can sort products by price high to low",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","2039","User cannot log in with empty password","","Wed Apr 22 06:54:34 UTC 2026","passed","Wed Apr 22 06:54:36 UTC 2026","","Login functionality","User cannot log in with empty password",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","2239","Removing a product from the inventory page clears the cart badge","","Wed Apr 22 06:54:21 UTC 2026","passed","Wed Apr 22 06:54:24 UTC 2026","","Inventory page functionality","Removing a product from the inventory page clears the cart badge",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","2528","User can log in after correcting invalid credentials","","Wed Apr 22 06:54:47 UTC 2026","passed","Wed Apr 22 06:54:50 UTC 2026","","Login functionality","User can log in after correcting invalid credentials",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","2111","Products are sorted alphabetically A to Z by default","","Wed Apr 22 06:54:08 UTC 2026","passed","Wed Apr 22 06:54:10 UTC 2026","","Inventory page functionality","Products are sorted alphabetically A to Z by default",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2502","User can cancel checkout and return to the cart","","Wed Apr 22 06:54:03 UTC 2026","passed","Wed Apr 22 06:54:06 UTC 2026","","Checkout functionality","User can cancel checkout and return to the cart",""
"  As a logged-in user
  I want to browse and interact with the product inventory
  So that I can find products and manage my shopping cart","2304","Adding multiple products shows the correct cart badge count","","Wed Apr 22 06:54:19 UTC 2026","passed","Wed Apr 22 06:54:21 UTC 2026","","Inventory page functionality","Adding multiple products shows the correct cart badge count",""
"  As a logged-in user
  I want to navigate between pages using the header
  So that I can access all areas of the application","2900","All Items link in the burger menu navigates to the inventory page","","Wed Apr 22 06:54:56 UTC 2026","passed","Wed Apr 22 06:54:59 UTC 2026","","Header navigation functionality","All Items link in the burger menu navigates to the inventory page",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","2113","Standard user lands on inventory page after login","","Wed Apr 22 06:54:28 UTC 2026","passed","Wed Apr 22 06:54:30 UTC 2026","","Login functionality","Standard user lands on inventory page after login",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","7182","Performance glitch user can log in successfully","","Wed Apr 22 06:54:38 UTC 2026","passed","Wed Apr 22 06:54:45 UTC 2026","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged-in user
  I want to complete the checkout process
  So that I can place an order for the products in my cart","2633","Checkout form requires a postal code","","Wed Apr 22 06:54:01 UTC 2026","passed","Wed Apr 22 06:54:03 UTC 2026","","Checkout functionality","Checkout form requires a postal code",""
